# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_favela
# Exported by: professor moretzsohn
setting:	replacespawns 1
ttt_random_ammo	2219.979980 1463.846436 -1215.642456	0.060 0.000 0.001
ttt_random_ammo	2222.157227 1421.902832 -1215.642456	0.059 0.000 0.001
ttt_random_ammo	2224.333496 1379.963501 -1215.568726	1.361 0.033 1.648
ttt_random_ammo	2226.366455 1341.012939 -1215.616089	0.246 0.001 0.242
ttt_random_ammo	2228.549805 1299.070190 -1215.612061	0.357 0.002 0.378
ttt_random_ammo	1284.235229 1977.530518 -1100.507202	0.047 0.000 -0.033
ttt_random_ammo	1283.619629 2005.905762 -1100.458984	0.100 0.000 0.057
ttt_random_ammo	1282.927124 2032.868652 -1100.437012	0.718 0.007 0.820
ttt_random_ammo	862.254150 2108.838135 -923.449585	0.077 -0.000 -0.026
ttt_random_ammo	883.245239 2108.801514 -923.468201	0.050 0.000 -0.017
ttt_random_ammo	314.232635 2151.116699 -735.614563	0.274 0.001 0.276
ttt_random_ammo	314.249969 2115.666016 -735.554016	1.074 0.028 1.302
ttt_random_ammo	314.834473 2073.663086 -735.630798	0.090 0.000 0.044
ttt_random_ammo	-231.901779 2128.101318 -591.576965	1.544 -0.037 -1.874
ttt_random_ammo	-214.051147 2128.062256 -591.608704	0.540 0.004 0.602
ttt_random_ammo	-213.988358 2148.654053 -591.646606	0.055 0.000 -0.007
ttt_random_ammo	-163.816223 1588.841919 -759.635315	-0.072 -0.000 0.019
ttt_random_ammo	-101.437271 1589.060913 -759.625488	0.122 0.000 0.086
ttt_random_ammo	-41.520206 1587.066406 -759.634521	0.076 -0.000 -0.026
ttt_random_ammo	722.341919 142.646393 -1055.582764	1.665 -0.036 -2.019
ttt_random_ammo	682.585083 144.033920 -1055.595581	-0.733 -0.007 0.838
ttt_random_ammo	647.150940 144.007950 -1055.676514	-0.047 -0.000 -0.033
ttt_random_ammo	605.149353 144.008469 -1055.631348	-0.084 -0.000 0.035
ttt_random_ammo	560.147339 144.008438 -1055.635376	-0.071 -0.000 0.018
ttt_random_ammo	1592.063843 705.806335 -995.328796	-0.211 -0.001 0.199
ttt_random_ammo	1621.382080 705.196533 -995.381104	-0.046 -0.000 -0.028
ttt_random_ammo	1649.485107 704.825317 -995.346069	-0.084 -0.000 0.036
ttt_random_ammo	984.964905 -1812.632813 136.351227	0.053 0.000 -0.011
ttt_random_ammo	944.846069 -1813.258789 136.432098	1.444 0.034 1.758
ttt_random_ammo	902.771912 -1811.864502 136.353363	0.055 0.000 -0.007
ttt_random_ammo	857.819885 -1811.666260 136.332840	0.047 0.000 -0.028
ttt_random_ammo	818.846680 -1812.523071 136.327881	0.047 0.000 -0.031
ttt_random_ammo	816.096619 -1837.186401 136.327881	0.047 0.000 -0.031
ttt_random_ammo	857.148926 -1836.244751 136.464417	0.686 0.022 0.833
ttt_random_ammo	898.941040 -1835.005127 136.332840	0.047 0.000 -0.028
ttt_random_ammo	937.944214 -1834.917480 136.335266	0.047 0.000 -0.027
ttt_random_ammo	976.943237 -1834.899658 136.372757	0.112 0.000 0.072
ttt_random_ammo	-1478.363647 -2452.968262 96.711555	11.095 -34.474 -110.463
ttt_random_ammo	-1445.189209 -2466.363525 88.675087	11.320 2.200 -4.770
ttt_random_ammo	-1450.542847 -2420.364990 91.669487	6.972 11.896 105.352
ttt_random_ammo	-1434.631714 -2419.661133 88.947205	7.442 9.693 104.347
ttt_random_ammo	-1076.615723 -2320.201660 104.474533	-0.682 -0.022 0.827
ttt_random_ammo	-1045.221924 -2321.186523 104.393044	0.707 0.007 0.806
ttt_random_ammo	-689.385925 -1731.739990 -190.356674	5.071 -1.695 -94.500
ttt_random_ammo	-739.119385 -1753.563232 -183.775375	-0.894 -2.424 -99.319
ttt_random_ammo	-297.707031 -1538.733521 -251.206131	1.879 -0.203 -0.214
ttt_random_ammo	-342.826935 -1538.674072 -244.837906	8.187 -0.004 -0.050
ttt_random_ammo	-310.395691 -1538.697021 -248.121277	52.585 0.140 0.045
ttt_random_ammo	-361.606689 -1538.602051 -240.067886	81.684 180.000 -179.376
ttt_random_ammo	503.723938 -1667.216309 -255.622177	0.152 0.001 0.124
ttt_random_ammo	482.021088 -1668.068848 -255.655411	0.048 0.000 -0.019
ttt_random_ammo	257.493927 -2451.319092 9.884770	-1.099 -0.168 2.192
ttt_random_ammo	259.112976 -2503.066895 8.006013	-0.592 -0.993 6.260
ttt_random_ammo	252.692841 -2543.916504 4.622116	-2.577 -1.438 5.556
ttt_random_ammo	229.176193 -2512.043945 6.088715	0.394 -0.653 3.901
ttt_random_ammo	230.530426 -2460.901123 8.627486	-1.315 -0.960 2.821
ttt_random_ammo	717.858887 -1184.735718 -449.644562	0.056 0.000 -0.004
ttt_random_ammo	755.572449 -1184.009521 -449.616058	0.244 0.001 0.239
ttt_random_ammo	673.077515 -1184.897461 -449.619019	0.192 0.001 0.174
ttt_random_ammo	589.732910 -1184.445923 -449.667206	0.046 0.000 -0.028
ttt_random_ammo	629.699341 -1183.262329 -449.607788	0.617 0.005 0.696
ttt_random_ammo	1927.909546 385.811340 -1298.304810	7.294 -1.945 -8.634
ttt_random_ammo	1922.209717 418.366394 -1299.508179	8.753 9.207 -95.536
ttt_random_ammo	1927.947998 429.715515 -1301.656128	9.732 9.996 -94.601
ttt_random_ammo	1941.047852 482.544281 -1305.945679	26.125 -0.233 0.884
ttt_random_ammo	1935.274536 481.231842 -1305.364624	10.557 0.958 1.374
ttt_random_ammo	1913.144043 438.038422 -1302.402100	11.153 2.371 -0.678
ttt_random_ammo	1906.267090 402.958832 -1295.453125	7.363 0.649 -96.366
ttt_random_ammo	1948.604492 408.994476 -1301.862915	7.349 0.648 -96.333
ttt_random_ammo	1954.148804 465.507263 -1309.222290	6.483 -0.814 0.950
ttt_random_ammo	1931.043701 469.723297 -1302.318115	78.268 174.841 177.738
ttt_random_ammo	1886.898315 447.360352 -1297.871216	11.160 -1.294 0.675
ttt_random_ammo	1533.038940 1276.135010 -1166.621948	-0.050 -0.000 -0.016
ttt_random_ammo	1237.066772 850.748230 -1199.619751	-0.152 -0.001 0.124
ttt_random_ammo	1285.843994 850.133057 -1199.639404	-0.064 -0.000 0.007
ttt_random_ammo	1329.809326 850.802185 -1199.587891	-1.133 -0.016 1.324
ttt_random_ammo	1368.557495 851.381714 -1199.629395	-0.092 -0.000 0.046
ttt_random_ammo	1394.000732 870.139832 -1199.681763	-0.048 -0.000 -0.035
ttt_random_ammo	1352.151123 869.333984 -1199.647949	-0.053 -0.000 -0.010
ttt_random_ammo	1310.085205 868.586609 -1199.673950	-0.047 -0.000 -0.032
ttt_random_ammo	1264.325317 868.731140 -1199.538452	-0.803 -0.023 0.954
ttt_random_ammo	1222.078857 869.437378 -1199.627441	-0.101 -0.000 0.057
ttt_random_ammo	1185.014893 869.595398 -1199.684448	-0.048 -0.000 -0.036
ttt_random_ammo	1231.886597 1242.431763 -1199.595459	-0.747 -0.007 0.854
ttt_random_ammo	1197.448853 1242.054199 -1199.521240	-0.554 -0.020 0.672
ttt_random_ammo	1160.438599 1242.094482 -1199.681763	-0.048 -0.000 -0.035
ttt_random_ammo	430.352112 1826.576050 -895.550720	0.958 0.026 1.157
ttt_random_ammo	388.687653 1824.811646 -895.571899	1.397 0.032 1.687
ttt_random_ammo	347.143738 1824.619263 -895.546997	0.890 0.025 1.076
ttt_random_ammo	305.161865 1824.998169 -895.636536	0.071 -0.000 -0.018
ttt_random_ammo	-1768.188354 73.251900 0.394221	0.945 0.011 1.096
ttt_random_ammo	-1734.531006 72.597916 0.349035	0.051 0.000 -0.014
ttt_random_ammo	-1695.540161 71.822342 0.427175	1.501 0.034 1.822
ttt_random_ammo	-1656.588013 71.938530 0.369165	0.091 0.000 0.045
ttt_random_ammo	-1771.978149 99.291832 0.433450	1.347 0.033 1.634
ttt_random_ammo	-1734.535767 99.041000 0.388826	0.406 -0.002 -0.438
ttt_random_ammo	-1695.540405 98.781548 0.444267	1.106 0.028 1.341
ttt_random_ammo	-1656.543213 98.951729 0.314753	0.047 0.000 -0.036
ttt_random_ammo	-1263.993896 689.354797 -127.579384	1.582 0.042 1.915
ttt_random_ammo	-1263.502808 649.867554 -127.672127	0.047 0.000 -0.031
ttt_random_ammo	-1226.541138 649.540100 -127.646637	0.055 0.000 -0.008
ttt_random_ammo	-1226.819580 689.696777 -127.562347	1.202 0.030 1.452
ttt_random_ammo	-782.781433 591.994019 -127.636482	0.072 0.000 0.018
ttt_random_ammo	-782.759460 555.300232 -127.638458	0.067 -0.000 -0.012
ttt_random_ammo	-278.165527 834.902405 -255.634567	0.078 0.000 0.027
ttt_random_ammo	-280.644501 799.018188 -255.644531	0.058 -0.000 0.003
ttt_random_ammo	-314.259003 790.606079 -255.655396	0.049 0.000 -0.019
ttt_random_ammo	-321.457306 820.231201 -255.659988	0.048 0.000 -0.023
ttt_random_ammo	-307.685516 847.668640 -255.605209	1.262 0.019 1.482
ttt_random_ammo	-291.495209 812.468689 -255.662323	0.047 -0.000 0.025
ttt_random_ammo	-346.035309 1186.226440 -367.642456	0.060 -0.000 -0.001
ttt_random_ammo	-326.733490 1185.416870 -367.669586	0.047 -0.000 0.029
ttt_random_ammo	-328.531433 1165.010132 -367.650909	0.051 -0.000 0.014
ttt_random_ammo	-348.113983 1166.072144 -367.622223	0.152 -0.001 -0.123
weapon_zm_rifle	306.645233 -1823.649170 135.125244	3.356 13.311 64.817
weapon_zm_mac10	484.187469 -2273.543457 276.914429	0.093 -44.299 -88.477
ttt_playerspawn	-2418.882080 1754.150269 -46.667267	0.987 0.017 -2.079
ttt_playerspawn	-2425.774414 1649.417358 -41.130062	1.013 -0.973 -4.247
ttt_playerspawn	-2431.959473 1560.332397 -33.739464	1.027 -2.679 -5.323
ttt_playerspawn	-2436.962646 1484.738281 -28.055424	2.806 0.542 -1.817
ttt_playerspawn	-2442.122559 1402.483032 -25.257107	2.952 0.978 -0.548
ttt_playerspawn	-2445.768311 1350.166748 -24.458134	2.896 0.605 -0.763
ttt_playerspawn	-2377.940430 1346.604248 -28.956053	4.281 0.213 0.556
ttt_playerspawn	-2374.167480 1414.112305 -29.063364	3.295 -0.077 -1.309
ttt_playerspawn	-2369.006104 1504.301636 -31.462339	1.975 -2.100 -4.286
ttt_playerspawn	-2362.608398 1593.351563 -38.384876	1.039 -0.772 -3.914
ttt_playerspawn	-2357.984863 1660.753540 -43.151356	0.962 -0.722 -3.956
ttt_playerspawn	-2353.218262 1735.575928 -47.146286	1.055 -0.035 -2.190
ttt_playerspawn	-2265.605469 1809.440674 -51.615395	1.422 -0.101 -1.664
ttt_playerspawn	-2267.661865 1725.875488 -48.485233	1.401 -0.235 -2.287
ttt_playerspawn	-2273.477539 1620.203735 -41.899273	0.943 -0.393 -3.939
ttt_playerspawn	-2276.577881 1522.815186 -35.935261	1.610 -0.867 -3.656
ttt_playerspawn	1912.001343 656.584778 -1242.011963	5.776 -0.128 2.667
ttt_playerspawn	2051.160889 1093.843506 -1226.532593	-1.860 -0.275 5.423
ttt_playerspawn	2253.008789 949.888550 -1228.596191	0.955 0.716 2.883
ttt_playerspawn	2187.832764 756.088745 -1217.287964	3.087 2.673 8.624
ttt_playerspawn	1679.053833 692.844055 -995.153625	-0.038 -0.000 0.038
ttt_playerspawn	1034.274780 -480.555359 -830.421936	0.038 -0.000 -0.031
ttt_playerspawn	1027.194458 -303.394440 -830.452759	-0.064 -0.000 0.064
ttt_playerspawn	782.194153 -572.214661 -567.432983	-0.032 -0.000 0.032
ttt_playerspawn	605.442932 -195.528519 -814.475830	-0.092 -0.000 0.092
ttt_playerspawn	462.852753 663.678467 -958.451294	-0.062 -0.000 0.062
ttt_playerspawn	53.019485 947.939697 -895.451050	-0.050 -0.000 0.050
ttt_playerspawn	39.651970 1441.863037 -759.450989	-0.050 -0.000 0.050
ttt_playerspawn	-69.235939 1447.151001 -759.465881	0.064 0.000 0.064
ttt_playerspawn	-193.164383 2133.375244 -591.402100	-0.157 -0.001 -0.150
ttt_playerspawn	-1060.949219 -1611.297363 0.537726	-0.060 -0.000 0.060
ttt_playerspawn	-925.043274 -1908.511230 256.539185	-0.058 -0.000 0.058
item_ammo_357_ttt	370.839569 -1824.239014 136.391479	0.462 0.054 0.032
item_ammo_357_ttt	358.214233 -1824.350952 136.338562	0.451 0.063 0.053
item_ammo_pistol_ttt	844.365356 -2252.139160 136.422668	0.660 1.859 0.168
item_ammo_pistol_ttt	838.009155 -2252.317627 136.465576	2.047 -0.057 0.451
item_ammo_pistol_ttt	831.865112 -2252.170654 136.444183	1.109 -0.113 -0.004
weapon_zm_molotov	401.589355 -2274.430908 256.163727	-2.145 -1.351 -1.544
weapon_zm_molotov	401.476471 -2254.425781 256.185760	-1.429 -1.452 -1.028
weapon_zm_molotov	401.345825 -2232.767822 256.160675	-2.244 -1.303 -1.615
weapon_zm_molotov	559.243103 -2287.200928 296.440826	12.500 -87.240 -90.298
weapon_zm_molotov	559.897522 -2292.838379 296.709106	-55.518 26.891 -87.954
weapon_zm_molotov	566.995056 -2294.984131 296.857269	10.856 -135.678 73.724
weapon_zm_molotov	-1809.988403 2042.719604 -62.130371	-49.803 -59.837 -86.752
weapon_zm_molotov	-1797.440186 2069.025146 -62.393414	16.858 -44.941 -89.541
weapon_zm_molotov	-1780.095337 2090.449219 -62.135387	-31.059 -59.944 -89.818
weapon_zm_molotov	-1746.651245 2102.663330 -63.807640	-1.371 -1.490 -0.750
weapon_zm_molotov	-1716.453735 2102.694092 -63.831776	-2.248 -1.362 -1.237
weapon_zm_molotov	-1700.234619 2090.289795 -63.811207	-1.499 -1.481 -0.818
weapon_zm_molotov	-1677.840820 2061.192383 -62.395931	21.423 -57.500 -90.371
weapon_zm_molotov	-1675.093994 2036.843018 -62.415928	14.755 -55.772 -91.760
weapon_zm_molotov	-1688.353394 2009.135010 -63.333324	-1.207 -0.884 -3.726
weapon_zm_molotov	-1701.967651 1989.952759 -62.649181	-1.836 -0.750 -4.546
weapon_zm_molotov	-1724.544434 1977.863159 -60.868408	16.223 -54.646 -90.542
weapon_zm_molotov	-1745.703491 1975.345581 -62.397732	-3.270 -1.039 -3.485
weapon_zm_molotov	-1783.594727 1981.204224 -61.306198	18.189 -57.246 -91.298
weapon_zm_molotov	-1798.371704 1986.441040 -61.485718	16.976 -52.932 -90.259
weapon_zm_molotov	-1814.110718 2010.357910 -61.525517	15.241 -55.605 -91.703
weapon_zm_molotov	-1818.794434 2027.193970 -61.782310	20.587 -50.274 -91.070
weapon_zm_molotov	-1831.700317 2055.012939 -62.325405	21.728 -58.697 -89.003
weapon_zm_molotov	-1831.782593 2081.359375 -62.252819	-51.121 -66.863 -86.852
weapon_zm_molotov	-1802.501953 2091.873535 -63.806839	-0.996 -1.508 -0.978
weapon_zm_molotov	-1780.477295 2114.714355 -63.803398	-1.216 -1.496 -0.665
weapon_zm_molotov	-1748.706421 2120.722900 -63.819263	-1.797 -1.448 -0.982
weapon_zm_molotov	-1710.046875 2119.135254 -63.798351	-1.031 -1.504 -0.564
weapon_zm_molotov	-1691.303101 2105.455566 -63.848366	-2.865 -1.205 -1.567
weapon_zm_molotov	-1656.373901 2082.874268 -63.309155	20.363 -55.587 -93.872
weapon_zm_molotov	-1647.268555 2064.500488 -63.018147	21.073 -38.171 -93.591
weapon_zm_molotov	-1646.939453 2040.230591 -62.900387	20.928 -54.018 -91.368
weapon_zm_molotov	-1665.685181 2007.148926 -63.183529	-1.502 -0.824 -3.957
weapon_zm_molotov	-1679.098022 1988.524536 -62.459949	-1.284 -0.864 -3.853
weapon_zm_molotov	-1710.176636 1964.045166 -60.316784	20.110 -53.813 -90.640
weapon_zm_molotov	-1729.992188 1951.967773 -61.205505	-4.650 -0.164 -4.572
weapon_zm_molotov	-1754.528809 1950.773071 -61.528652	-3.605 -0.311 -4.073
weapon_zm_molotov	-1779.543945 1978.394043 -61.230053	18.251 -48.925 -92.078
weapon_zm_molotov	-1031.023560 -1785.933594 1.695329	18.729 41.475 -90.704
weapon_zm_molotov	-1002.497681 -1980.233887 256.184479	-2.053 -0.981 -0.687
weapon_zm_molotov	367.699341 2080.448242 -748.274475	21.336 -21.437 -89.499
weapon_zm_molotov	366.308197 2061.588623 -749.723328	-0.988 -1.546 -1.004
weapon_zm_molotov	378.208679 2065.563232 -749.714539	-0.801 -1.558 -0.813
weapon_zm_molotov	379.101410 2073.535645 -749.748535	-1.525 -1.456 -1.553
weapon_zm_molotov	374.956757 2072.246094 -748.212280	18.862 16.787 -90.598
weapon_zm_molotov	380.710236 2081.959473 -748.136780	-48.939 -76.265 -86.209
weapon_zm_molotov	-266.379028 2052.421143 -591.827332	-1.619 -1.327 -1.485
weapon_zm_molotov	-7.431629 1381.132080 -758.231445	-47.693 38.304 -86.141
weapon_zm_molotov	-20.169943 1381.099854 -758.243835	-50.556 37.091 -86.535
weapon_zm_molotov	-9.671722 1379.270264 -757.861328	-28.597 -80.794 87.820
weapon_zm_molotov	-17.208500 1383.273071 -758.112366	-31.739 -16.392 -90.212
weapon_zm_molotov	7.765895 938.420288 -893.914856	-25.717 -149.546 87.299
weapon_zm_molotov	591.650696 -252.588516 -812.633728	-50.678 77.574 89.909
weapon_ttt_confgrenade	-1300.938599 1463.930786 2.148745	-36.557 -49.437 -91.257
weapon_ttt_confgrenade	-1301.192505 1430.637573 2.301488	-38.043 -42.600 -95.062
weapon_ttt_confgrenade	-1302.434082 1404.016846 2.179313	-37.024 -48.964 -91.999
weapon_ttt_confgrenade	-1303.446411 1367.972046 2.091468	-35.682 -50.240 -89.910
weapon_ttt_confgrenade	-1297.075684 1455.314209 2.289014	10.983 -23.734 -93.479
weapon_ttt_confgrenade	-1295.114380 1428.000977 2.249952	17.245 9.256 93.120
weapon_ttt_confgrenade	-1299.166870 1397.039917 2.275261	-38.488 -62.524 -94.436
weapon_ttt_confgrenade	-1297.613892 1365.483398 2.127854	-37.363 -51.766 -91.068
weapon_ttt_confgrenade	-1294.260742 1466.857666 2.441586	2.017 -57.132 -95.326
weapon_ttt_confgrenade	-1294.567383 1439.295776 2.138685	-37.425 -70.614 -91.302
weapon_ttt_confgrenade	-1293.998047 1409.841431 2.426627	-82.704 13.414 157.357
weapon_ttt_confgrenade	-1292.797119 1364.145752 2.431656	39.227 64.428 92.054
weapon_ttt_confgrenade	-1291.316772 1461.413574 2.368941	35.478 -30.735 -93.158
weapon_ttt_confgrenade	-1288.596191 1435.552612 2.334397	-85.066 2.406 167.173
weapon_ttt_confgrenade	-1292.731812 1400.023926 2.030920	-37.971 -64.503 -89.307
weapon_ttt_confgrenade	-1288.693848 1368.415405 2.207596	17.138 -49.585 -92.268
weapon_ttt_confgrenade	-1045.694824 -1787.275146 2.126931	13.380 -42.092 -90.275
weapon_ttt_confgrenade	-1006.631409 -1971.458008 258.252625	12.906 -32.513 -92.431
weapon_ttt_confgrenade	493.558807 1749.994873 -859.811951	13.183 -0.473 94.352
weapon_ttt_confgrenade	483.638763 1752.612915 -859.665100	39.767 167.508 -94.751
weapon_ttt_confgrenade	490.795471 1748.279907 -859.921692	-85.919 -168.022 179.056
weapon_ttt_confgrenade	-168.114899 2142.992188 -589.453796	8.859 68.186 -98.300
weapon_ttt_confgrenade	10.100618 931.908997 -892.978943	12.382 -12.867 -105.931
weapon_ttt_confgrenade	594.193237 -249.755157 -812.763611	-38.130 -60.674 -93.755
item_ammo_revolver_ttt	-969.996033 -1711.056519 291.204956	-0.774 0.518 0.012
sent_soccerball	699.633911 -2272.150635 257.024475	-0.400 -8.907 -83.457
sent_soccerball	-2143.664063 1593.386841 -41.732033	0.347 -7.626 -85.745
sent_soccerball	-2637.279053 1107.597900 -14.830147	-5.098 0.022 93.702
nothing	-2326.605469 1910.117920 -55.169701	19.506 -5.152 1.536
weapon_zm_revolver	-965.524841 -1714.313965 291.626556	1.899 -26.297 -84.305
weapon_zm_ak47	-1702.272461 315.366852 -417.327820	3.420 37.599 93.001
weapon_zm_ak47	1615.107666 735.214233 -994.765991	0.401 -37.152 -89.528
weapon_zm_ak47	-120.984871 1463.064819 -319.106323	-0.035 43.736 89.341
weapon_zm_ak47	-1167.819946 1590.256226 128.921051	0.700 -37.193 -89.323
